Time resolution is 1 ps
cntr: x flg:x messAddra:  x cmacAddra:  x messIn:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx cmacIn:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx in:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx cmacReg:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx encrypted:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bufFlg:x messDone:x
cntr: 0 flg:0 messAddra:  0 cmacAddra:  0 messIn:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx cmacIn:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx in:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx cmacReg:00000000000000000000000000000000 encrypted:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bufFlg:1 messDone:0
cntr: 1 flg:0 messAddra:  1 cmacAddra:  0 messIn:ffd8ffe000104a464946000101000001 cmacIn:ffd8ffe000104a464946000101000001 in:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx cmacReg:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx encrypted:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bufFlg:1 messDone:0
cntr: 2 flg:0 messAddra:  1 cmacAddra:  0 messIn:00010000ffdb00430008060607060508 cmacIn:ffd8ffe000104a464946000101000001 in:ffd8ffe000104a464946000101000001 cmacReg:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx encrypted:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bufFlg:0 messDone:0
cntr: 3 flg:0 messAddra:  2 cmacAddra:  0 messIn:00010000ffdb00430008060607060508 cmacIn:ffd8ffe000104a464946000101000001 in:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx cmacReg:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx encrypted:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bufFlg:1 messDone:0
cntr: 4 flg:0 messAddra:  2 cmacAddra:  0 messIn:0707070909080a0c140d0c0b0b0c1912 cmacIn:ffd8ffe000104a464946000101000001 in:00010000ffdb00430008060607060508 cmacReg:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx encrypted:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bufFlg:1 messDone:0
cntr: 5 flg:0 messAddra:  2 cmacAddra:  0 messIn:0707070909080a0c140d0c0b0b0c1912 cmacIn:ffd8ffe000104a464946000101000001 in:0707070909080a0c140d0c0b0b0c1912 cmacReg:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx encrypted:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bufFlg:1 messDone:0
cntr: 6 flg:0 messAddra:  2 cmacAddra:  0 messIn:0707070909080a0c140d0c0b0b0c1912 cmacIn:ffd8ffe000104a464946000101000001 in:0707070909080a0c140d0c0b0b0c1912 cmacReg:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx encrypted:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bufFlg:1 messDone:0
cntr: 7 flg:0 messAddra:  2 cmacAddra:  0 messIn:0707070909080a0c140d0c0b0b0c1912 cmacIn:ffd8ffe000104a464946000101000001 in:0707070909080a0c140d0c0b0b0c1912 cmacReg:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx encrypted:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bufFlg:1 messDone:0
cntr: 8 flg:0 messAddra:  2 cmacAddra:  0 messIn:0707070909080a0c140d0c0b0b0c1912 cmacIn:ffd8ffe000104a464946000101000001 in:0707070909080a0c140d0c0b0b0c1912 cmacReg:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx encrypted:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bufFlg:1 messDone:0
cntr: 9 flg:0 messAddra:  2 cmacAddra:  0 messIn:0707070909080a0c140d0c0b0b0c1912 cmacIn:ffd8ffe000104a464946000101000001 in:0707070909080a0c140d0c0b0b0c1912 cmacReg:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx encrypted:xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bufFlg:1 messDone:0
